run_id,hour,rad,co2,co,pm10,pm25
0,0,0.0,483.4347015164219,312.72712650163703,29.922117486237575,13.611598468957414
0,1,0.0,477.9009181752201,306.25739099011577,28.936437019291496,13.563482377113527
0,2,0.0,478.08428732740066,299.09603728434087,33.37280406700605,14.172711518192575
0,3,0.0,474.42696650032883,291.7539464250087,32.132342812869595,14.96838170211307
0,4,0.0,472.9415528704039,284.00900936972675,31.671483354264858,17.25944836144317
0,5,1400.0,473.3046030583373,289.6652764742697,30.306488394677352,15.737509710403927
0,6,1400.0,469.5956642551613,301.0522496543464,30.279291116087467,21.31489784843086
0,7,1400.0,467.28965080780927,312.96795846660694,29.22554839137157,19.399393386484157
0,8,1400.0,456.98703825124846,297.5059989701647,27.587307872846743,19.213224561977285
0,9,1400.0,454.96760989990486,282.27064045894406,28.82853802845094,17.774928273517805
0,10,1400.0,448.5809806804458,271.81962787000043,25.427474680776523,17.41677950273385
0,11,1400.0,440.74383244266005,256.99039962697907,23.822933187584653,15.098603852179767
0,12,114.54902189628103,424.4992749835349,253.78405042062988,30.382409321395222,14.29971525476601
0,13,1400.0,420.4387686522777,246.46549541241973,32.22709035626522,13.48124631862784
0,14,1400.0,418.47496881925326,249.90063498549034,31.372644999673934,14.712912953824127
0,15,0.0,417.56964741620726,250.39543520442848,31.256369405573157,15.078416803571148
0,16,1400.0,427.7203752096977,263.3286590686868,31.429524371329162,16.441167088264397
0,17,1400.0,433.45654517601827,282.1184784447131,39.64752506930856,19.91917512097954
0,18,1400.0,443.08537038733505,304.3155227796885,40.09587058822337,20.94682685848418
0,19,0.0,453.0611449766702,323.39184098923766,41.33778539280175,21.778537513732893
0,20,0.0,456.0645910955849,330.37792015243065,41.384651419655434,22.974135684358128
0,21,0.0,455.70292613751036,334.61492069977606,40.90224195119512,23.35752266591214
0,22,0.0,450.7950381777512,332.2405364633228,43.89027111155025,21.202474305614103
0,23,0.0,438.0644601688627,325.80922830787677,41.014091928812704,18.952069182278954
1,0,0.0,492.95484827406335,204.29533627166813,27.711732397440485,23.481484247941825
1,1,0.0,483.42094159731005,201.4535247129623,28.475127344656702,23.152486627364343
1,2,0.0,475.1131412183369,190.664247054372,25.41127409376454,21.929434203328803
1,3,0.0,471.93640659621,183.3221561950398,23.810658722595285,21.1023929324287
1,4,0.0,479.6743199668276,179.5772191397579,22.128074217730102,19.572006351401885
1,5,0.0,488.0282277204105,181.23348624430085,21.564767676769236,21.112730035289673
1,6,1400.0,488.73890291809545,196.6204594243775,25.251531567322097,19.12458252040681
1,7,0.0,480.7266185766263,208.53616823663805,24.711274574447977,25.8619405378397
1,8,0.0,473.1095486240098,193.0742087401958,24.210683482054712,23.810946965426254
1,9,0.0,460.40113510654004,181.8388502289752,25.311003447342696,22.117630650025973
1,10,0.0,461.9912023532393,167.38783764003156,23.77094305275213,18.477083177727515
1,11,1400.0,465.9420169963711,152.5586093970102,23.848949215888375,17.03201321222123
1,12,1400.0,457.8329811825148,145.35226019066099,22.560414865777204,16.067355788330566
1,13,1400.0,452.03553080218535,146.03370518245083,24.265185908434468,15.605809773910625
1,14,1400.0,450.731116890724,141.46884475552145,24.55448057887663,16.891846495832297
1,15,0.0,456.4788282902957,145.96364497445958,23.141069667260496,15.342778199783886
1,16,1400.0,461.66869789641305,162.89686883871792,27.10561371358849,14.707976931875612
1,17,0.0,473.71658971057934,181.29119186635356,27.420113921336657,14.500036257610118
1,18,0.0,475.670739933484,195.88373254971958,28.733597975317014,23.442795518423225
1,19,0.0,476.6595659413442,219.78739976373163,28.179110326574516,24.12507141640217
1,20,0.0,485.82398709009806,225.94612992246175,27.30519999412956,28.27058321509177
1,21,0.0,478.6627772899652,232.50016513561692,27.205895097279523,28.306952652934754
1,22,0.0,473.09769318758157,227.80874623335393,28.121529460199238,27.176215777813923
1,23,0.0,466.837412765728,217.37743807790787,27.75428502772259,24.66633626409961
2,0,0.0,488.97844265091044,235.200453951843,25.73574090330267,21.754849670916002
2,1,0.0,479.3789193893051,224.8156701532661,24.394065388033134,23.881865212532443
2,2,0.0,469.7029629424083,217.56936473454687,22.15028955297279,23.279468575039118
2,3,0.0,465.30122180261526,214.22727387521468,19.15350473401024,24.947364355880705
2,4,0.0,466.0754728922021,206.48233681993275,16.966988133133025,25.672160829182705
2,5,0.0,464.08367699345956,208.13860392447572,17.60762521959845,25.09931084645454
2,6,0.0,463.9166664014912,223.52557710455235,17.430661654519163,27.79692439711458
2,7,457.9382532399255,469.24348774619597,235.44128591681292,15.495832372934608,27.876208125500703
2,8,502.4991511526298,465.27554705574494,219.97932642037065,13.970936768173003,32.18969792597041
2,9,578.3940693602519,465.4553394011941,204.74396790915006,12.09807008747437,28.700130123219488
2,10,640.8510862714913,467.4607909855533,190.29295532020643,12.088810161967961,26.883414448950937
2,11,0.0,455.18943841339757,183.46372707718507,8.471044715653274,26.85317012479836
2,12,0.0,446.94638333932636,176.25737787083585,6.480902091446342,26.421684861622154
2,13,0.0,445.2945273773683,172.9388228626257,5.335011740259848,27.050846355336294
2,14,1400.0,446.4831037186615,172.3739624356963,4.730567009855601,31.204553249983572
2,15,1400.0,449.17622643934345,173.89806226357751,3.5865695933855157,31.2656692287704
2,16,1400.0,470.91156229303414,185.8019865188928,5.816043147728603,32.021423533436256
2,17,1400.0,480.6697884205858,204.59180589491908,5.880177612762285,32.088107797512436
